id,file_set_ids_ssim.1,file_set_ids_ssim.2,file_set_ids_ssim.3,file_set_ids_ssim.4,file_set_ids_ssim.5,file_set_ids_ssim.6,file_set_ids_ssim.7,file_set_ids_ssim.8,file_set_ids_ssim.9,file_set_ids_ssim.10,file_set_ids_ssim.11,file_set_ids_ssim.12,file_set_ids_ssim.13,file_set_ids_ssim.14,file_set_ids_ssim.15,file_set_ids_ssim.16,file_set_ids_ssim.17,file_set_ids_ssim.18,file_set_ids_ssim.19
2b88qf638,7w62fb73r,1z40kw647,rx913s42g,x059c9772,j3860923k,nz806206h,37720f91q,79408072w,z890rx06g,d504rp007,h415pd31h,1g05fd95z,mc87ps681,dn39x4029,dz010s64s,,,,
x920g052x,cj82k971b,jh343v96z,41687k96g,vh53wz51k,td96k5150,hx11xh89s,br86b610q,8w32r8488,w0892d48z,tb09j827k,5712m9175,6w924f47g,rv042w649,c821gn271,wm117r52w,,,,
zw12z804q,kp78gj76v,w66346297,vh53wz509,nz8062082,8049g731s,9s161853p,kp78gj75k,9w032546h,rx913s43r,3t945t30s,z316q4201,w66346300,765373789,db78tf65k,c247dv63d,,,,
1831cn545,q524jr293,9g54xm29p,th83m1835,db78tf66v,6w924f466,1r66j3592,db78tf631,jh343v977,nz806207s,f1881p517,8p58pg581,p5547t90f,5712m919q,sq87bw99s,t148fk95q,,,,
8049g730h,2r36v126c,k0698971n,tt44pq18p,8049g7322,qf85nd82c,d791sj449,5138jh26n,df65vb328,q811kn10m,qn59q6425,pg15bh50g,td96k514q,q811kn11w,kw52jb49f,qj72p972c,,,,
8s45qc25q,h128nh23k,q237hv37j,kw52jb485,wm117r535,w9505297d,gx41mm559,m900nw881,6108vd782,st74cs877,xg94hr93h,ww72bf27h,m900nw899,dz010s652,tx31qm420,8p58pg599,m039k7422,rv042w631,xd07gw36w,v405sc89g
qn59q641w,hx11xh877,dz010s66b,794080735,2227ms24t,ng451m093,4q77fv12g,tb09j828v,2801pk03j,9s161852d,7h149s54j,2r36v1253,tx31qm438,ng451m08t,9306t1761,db78tf649,,,,
4f16c5589,02870z37c,5712m918f,3x816p98g,m039k741s,vh53wz52v,4f16c559k,8g84mp855,4q77fv116,02870z38n,9s161854z,6d570003b,ng451m10v,w3763924m,hx11xh88h,2227ms23j,,,,
765373771,3t945t291,ww72bf267,wh246v70k,st74cs86z,8g84mp86f,bk128d453,6w924f45x,1c18dj371,vq27zq892,tq57nt46m,7w62fb741,w3763923b,1544br79s,9019s4950,x346d7040,,,,
gt54kq76t,70795b19v,jh343w02w,st74cs93c,d504rp06w,db78tf71q,6d570010r,rb68xf40g,m039k745w,kh04ds02j,z890rx099,d504rp032,8g84mp901,7h149s563,cf95jd83w,ns064889t,,,,
